"decade","region","n"
1940,"Africa",1
1940,"Asia and Pacific",405
1940,"Europe",159
1940,"North America",424
1950,"Africa",9
1950,"Asia and Pacific",492
1950,"Europe",146
1950,"North America",1044
1950,"South America",1
1960,"Africa",6
1960,"Asia and Pacific",132
1960,"Europe",26
1960,"North America",745
1970,"Africa",8
1970,"Asia and Pacific",63
1970,"Europe",21
1970,"North America",437
1970,"South America",7
1980,"Asia and Pacific",6
1980,"Europe",1
1980,"North America",33
1980,"South America",1
